"","ticker","calendardate","revenue","cor","rnd","ebit","netinc","epsdil","ncfo","ncfi","capex","ncfdiv","intangibles","debt","de","pe","pb","fcfps","assets","netmargin","marketcap","dps","ln_returns"
"58592","PGNX",20141231,-0.226470529460722,-0.190420960963862,-0.0849328029620827,-0.191780161100524,-0.158615133447307,-0.0072409216518316,-0.111763123921861,0.02781508751561,0.164067636008912,0.184837962713686,-0.184657603728844,-0.0624348727498117,-0.000830329065613714,0.0838044946533402,0.002732352832695,0.00622785236547066,-0.111740141873682,0.0117984637703959,-0.223402296389572,-0.0406890432766202,-0.113554699546862
"62349","PGNX",20150331,-0.226271168883411,-0.190420960963862,-0.0850363854872187,-0.187580288396876,-0.154848508363969,-0.00724084425164919,-0.157151908170467,0.0270289772799598,0.165033855371506,0.184837962713686,-0.184657603728844,-0.0624348727498117,-0.000797202282335807,0.0962245832131971,0.00224922856767306,-0.00953329524864836,-0.11184684295907,-0.000288286803379676,-0.225539394230431,-0.0406890432766202,0.352870246895068
"66109","PGNX",20150630,-0.225860033333866,-0.190420960963862,-0.084295372038169,-0.189836586353453,-0.157672009660206,-0.0072408958517708,-0.155153639655969,0.0269858716681926,0.164690712046472,0.184837962713686,-0.184657603728844,-0.0624348727498117,-0.000688988123627976,0.173172839932038,0.00985742077482517,-0.00888308288832992,-0.111930691964061,0.00652068296589193,-0.217999955519133,-0.0406890432766202,-0.0415104991683785
"69880","PGNX",20150930,-0.225991723287865,-0.190420960963862,-0.0812277357168341,-0.187205020545471,-0.154378903158773,-0.00724081845158838,-0.155951451831453,0.0270437239366171,0.165151246509017,0.184837962713686,-0.184657603728844,-0.0624348727498117,-0.000549855633860765,-0.0195239774513906,0.0108439686437355,-0.00909115084363182,-0.111987253679864,0.0063019967837702,-0.218987423980453,-0.0406890432766202,-0.49766753918848
"73705","PGNX",20151231,-0.225091314526605,-0.190420960963862,-0.0703993778968496,-0.182930094271542,-0.148769077645043,-0.00724071525134516,-0.156728971595512,0.0246676216177978,0.164904424117327,0.184837962713686,-0.183370707278988,-0.0624348727498117,-0.000476976710649368,-0.016012765512004,0.00311804027115788,-0.00937724428217193,-0.112045239169389,0.00741471219015677,-0.228498403514506,-0.0406890432766202,-999
"2734","PRPH",20110331,-0.225560870758146,-0.19003760755097,-0.134660382913903,-0.173130912501712,-0.13676675127559,-0.00724063785116275,-0.144250206591024,0.0271072479960635,0.165656931409067,0.184837962713686,-0.190316327903865,-0.0624348727498117,-0.000172210304492621,-0.0127679538350428,-0.00596794380547308,-0.00305718013987668,-0.1131859175097,0.00762356327943176,-0.242564101549164,-0.0406890432766202,-0.275411979859967
"6461","PRPH",20110630,-0.225907013298971,-0.19014358579822,-0.135003002035507,-0.173069931475859,-0.136690440429746,-0.00724061205110194,-0.146222842585828,0.0269749062055501,0.164603421200631,0.184837962713686,-0.190316327903865,-0.0624348727498117,-0.000399680883000918,-0.0137187109553592,-0.00703568902984928,-0.00690643731296185,-0.113207868208173,0.00757766617948028,-0.242744349958047,-0.0406890432766202,0.0672026521138843
"10182","PRPH",20110930,-0.225094235560705,-0.189934573143922,-0.13482770853143,-0.16981135563282,-0.132612701897966,-0.00724027665031148,-0.149368166356645,0.0270164993397114,0.164934524408996,0.184837962713686,-0.190316327903865,-0.0624348727498117,-0.000156751138962931,-0.0143108161322692,-0.00719402387300773,-0.0117700257681438,-0.113181523272815,0.00772731386671702,-0.24272945008869,-0.0406890432766202,0.209134825267025
"13977","PRPH",20111231,-0.22451538396993,-0.189549911357607,-0.13246921411295,-0.174413077660681,-0.138371235726674,-0.00724076685146677,-0.1445289602427,0.0270437239366171,0.165151246509017,0.184837962713686,-0.190316327903865,-0.0624348727498117,7.73447962009482e-05,-0.0138561471331476,-0.00548887940822444,-0.00378541798343334,-0.113194214320602,0.00763783380630743,-0.242582390315159,-0.0406890432766202,-0.0778865386570712
"17721","PRPH",20120331,-0.224866638320429,-0.189872098312981,-0.133528943023956,-0.172622737286267,-0.136130827560221,-0.00724058625104114,-0.144701979750636,0.0270301116381642,0.165042885459007,0.184837962713686,-0.190316327903865,-0.0624348727498117,4.86349173600954e-05,-0.0141413742692425,-0.00562285504474313,-0.0041755453996244,-0.113206065444323,0.00766328934073429,-0.242637880386595,-0.0406890432766202,0.0769610411361284
